p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
70,39,Richard Gasquet,$1.446,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Miami,Q,Tomas Berdych,FALSE,81,cluster_4,0,0
61,46,Richard Gasquet,$2.370,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Marin Cilic,FALSE,49,cluster_2,0,0
51,27,Kevin Anderson,$1.369,Marin Cilic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Marin Cilic,FALSE,50,cluster_3,-0.16,1
53.0,46.0,Alexandr Dolgopolov,$1.205,Juan Martin Del Potro,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Juan Martin Del Potro,false,7.0,cluster_1,0.24,1
60.0,36.0,Rafael Nadal,$17.229,Rafael Nadal,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,Grigor Dimitrov,false,69.0,cluster_1,-0.22,3
48.0,37.0,Rafael Nadal,$2.996,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,F,Novak Djokovic,false,80.0,cluster_1,0,0
45.0,20.0,Fabio Fognini,$1.168,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,S,Novak Djokovic,false,81.0,cluster_3,0,0
53.0,36.0,Mikhail Youzhny,$1.089,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Novak Djokovic,false,84.0,cluster_1,0,0
67.0,48.0,Fabio Fognini,$1.376,Fabio Fognini,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,Richard Gasquet,false,59.0,cluster_1,0,0
53.0,38.0,Marin Cilic,$1.680,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Richard Gasquet,false,60.0,cluster_2,0.16,3
72.0,46.0,Ernests Gulbis,$3.026,Ernests Gulbis,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,John Isner,false,65.0,cluster_2,0.07,1
67.0,45.0,Nicolas Almagro,$4.940,Nicolas Almagro,Apr 15 2013,Houston,R16,Gael Monfils,false,65.0,cluster_2,0,0
52.0,46.0,Fabio Fognini,$1.711,Fabio Fognini,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Andreas Seppi,false,63.0,cluster_4,0,0
68.0,44.0,Rafael Nadal,$7.895,Rafael Nadal,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,S,Jo-Wilfried Tsonga,false,29.0,cluster_0,0,0
65.0,37.0,Stan Wawrinka,$2.125,Jo-Wilfried Tsonga,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,Jo-Wilfried Tsonga,false,32.0,cluster_0,-0.13,2
62.0,34.0,Jo-Wilfried Tsonga,$1.830,Jo-Wilfried Tsonga,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,Stan Wawrinka,false,71.0,cluster_2,0.25,2
44.0,25.0,Andy Murray,$3.085,Stan Wawrinka,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Stan Wawrinka,false,72.0,cluster_4,0,0
63.0,46.0,Novak Djokovic,$10.139,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Mikhail Youzhny,false,62.0,cluster_2,0,0
53.0,46.0,Juan Martin Del Potro,$5.335,Juan Martin Del Potro,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Alexandr Dolgopolov,false,80.0,cluster_3,0,0
67.0,35.0,Kevin Anderson,$2.240,Kevin Anderson,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Jerzy Janowicz,false,76.0,cluster_1,0.18,1
80.0,43.0,Rafael Nadal,$26.377,Rafael Nadal,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Philipp Kohlschreiber,false,33.0,cluster_2,0,0
64,44,Rafael Nadal,$8.289,Rafael Nadal,Apr 22 2013,Barcelona,F,Nicolas Almagro,FALSE,22,cluster_3,-0.38,7
45,23,Philipp Kohlschreiber,$1.255,Nicolas Almagro,Apr 22 2013,Barcelona,S,Nicolas Almagro,FALSE,23,cluster_0,0,0
67,48,Fabio Fognini,$1.276,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Tomas Berdych,FALSE,79,cluster_4,0,0
68.0,48.0,Tommy Robredo,$1.611,Tommy Robredo,Apr 22 2013,Barcelona,R32,Grigor Dimitrov,false,68.0,cluster_3,0,0
70.0,41.0,Milos Raonic,$2.638,Milos Raonic,Apr 22 2013,Barcelona,R16,Ernests Gulbis,false,67.0,cluster_2,0.15,2
63.0,26.0,Fernando Verdasco,$1.400,Ernests Gulbis,Apr 22 2013,Barcelona,R32,Ernests Gulbis,false,68.0,cluster_3,0.29,3
55.0,35.0,Nicolas Almagro,$1.116,Rafael Nadal,Apr 22 2013,Barcelona,F,Rafael Nadal,false,88.0,cluster_2,0,0
47.0,30.0,Milos Raonic,$1.093,Rafael Nadal,Apr 22 2013,Barcelona,S,Rafael Nadal,false,89.0,cluster_4,0,0
64.0,28.0,Tommy Robredo,$1.445,Milos Raonic,Apr 22 2013,Barcelona,Q,Milos Raonic,false,33.0,cluster_0,0.23,2
58.0,29.0,Ernests Gulbis,$1.568,Milos Raonic,Apr 22 2013,Barcelona,R16,Milos Raonic,false,35.0,cluster_2,0,0
71.0,35.0,Milos Raonic,$3.075,Milos Raonic,Apr 22 2013,Barcelona,Q,Tommy Robredo,false,57.0,cluster_4,0,0
63.0,37.0,Tomas Berdych,$2.975,Tommy Robredo,Apr 22 2013,Barcelona,R16,Tommy Robredo,false,58.0,cluster_0,-0.06,1
51.0,31.0,Grigor Dimitrov,$2.523,Tommy Robredo,Apr 22 2013,Barcelona,R32,Tommy Robredo,false,59.0,cluster_2,-0.06,2
73.0,36.0,Ernests Gulbis,$2.850,Ernests Gulbis,Apr 22 2013,Barcelona,R32,Fernando Verdasco,false,59.0,cluster_3,1.03,6
51.0,32.0,Tomas Berdych,$4.290,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Fabio Fognini,false,25.0,cluster_2,0,0
80.0,55.0,Novak Djokovic,$6.217,Novak Djokovic,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,S,Fabio Fognini,false,26.0,cluster_0,-0.4,3
53.0,47.0,Andreas Seppi,$2.312,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Fabio Fognini,false,27.0,cluster_1,0,0
51.0,32.0,Richard Gasquet,$3.447,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,Q,Fabio Fognini,false,32.0,cluster_2,0,0
50.0,32.0,Andreas Seppi,$1.219,David Ferrer,Apr 29 2013,Oeiras,S,David Ferrer,false,82.0,cluster_0,0.08,1
65.0,39.0,Tommy Haas,$1.820,Tommy Haas,Apr 29 2013,Munich,R16,Ernests Gulbis,false,65.0,cluster_1,0.16,9
63.0,27.0,Philipp Kohlschreiber,$1.578,Tommy Haas,Apr 29 2013,Munich,F,Tommy Haas,false,67.0,cluster_4,0.27,1
60.0,34.0,Ernests Gulbis,$2.139,Tommy Haas,Apr 29 2013,Munich,R16,Tommy Haas,false,70.0,cluster_4,0.39,8
66.0,46.0,Andreas Seppi,$1.755,Andreas Seppi,Apr 29 2013,Oeiras,Q,Tommy Robredo,false,54.0,cluster_3,-0.18,3
67.0,49.0,David Ferrer,$5.094,David Ferrer,Apr 29 2013,Oeiras,S,Andreas Seppi,false,59.0,cluster_3,0,0
53.0,33.0,Tommy Robredo,$2.236,Andreas Seppi,Apr 29 2013,Oeiras,Q,Andreas Seppi,false,60.0,cluster_2,0,0
58.0,14.0,David Ferrer,$2.980,Stan Wawrinka,Apr 29 2013,Oeiras,F,Stan Wawrinka,false,62.0,cluster_0,0.07,8
72.0,36.0,Tommy Haas,$2.610,Tommy Haas,Apr 29 2013,Munich,F,Philipp Kohlschreiber,false,38.0,cluster_0,-0.13,1
72,48,Marin Cilic,$3.487,Marin Cilic,May 5 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Kevin Anderson,FALSE,32,cluster_4,0.04,1
60,36,Kevin Anderson,$1.366,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Tomas Berdych,FALSE,75,cluster_3,0.47,4
64,38,Jerzy Janowicz,$1.351,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Tomas Berdych,FALSE,76,cluster_4,0.12,2
62,36,Tommy Robredo,$1.469,Tommy Robredo,May 5 2013,Barcelona,R16,Tomas Berdych,FALSE,77,cluster_4,0,0
67,42,Gilles Simon,$2.394,Gilles Simon,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Jeremy Chardy,FALSE,26,cluster_0,0,0
64.0,39.0,Stan Wawrinka,$2.842,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Grigor Dimitrov,false,65.0,cluster_1,0,0
63.0,36.0,Novak Djokovic,$11.919,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Grigor Dimitrov,false,66.0,cluster_1,-0.81,8
63.0,36.0,Grigor Dimitrov,$1.072,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Novak Djokovic,false,79.0,cluster_4,0.01,1
62.0,29.0,Kei Nishikori,$1.265,Kei Nishikori,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Roger Federer,false,53.0,cluster_0,0,0
55.0,52.0,Rafael Nadal,$7.855,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,David Ferrer,false,76.0,cluster_4,-0.01,1
64.0,28.0,Tommy Haas,$1.404,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,David Ferrer,false,77.0,cluster_2,0.37,4
71.0,36.0,David Ferrer,$3.284,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Tommy Haas,false,64.0,cluster_4,-0.73,5
52.0,37.0,Tommy Robredo,$1.602,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Tommy Haas,false,65.0,cluster_2,0,0
50.0,25.0,Andreas Seppi,$1.594,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Tommy Haas,false,66.0,cluster_3,0.11,1
60.0,36.0,Gilles Simon,$1.212,Andy Murray,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Andy Murray,false,17.0,cluster_0,1.34,5
59.0,15.0,Stan Wawrinka,$1.158,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,F,Rafael Nadal,false,82.0,cluster_0,0,0
47.0,44.0,David Ferrer,$1.124,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,Rafael Nadal,false,84.0,cluster_1,0.26,1
50.0,29.0,Mikhail Youzhny,$1.021,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Rafael Nadal,false,86.0,cluster_4,0,0
70.0,37.0,Roger Federer,$4.415,Kei Nishikori,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Kei Nishikori,false,46.0,cluster_0,-0.14,1
65.0,34.0,Fernando Verdasco,$1.388,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Milos Raonic,false,30.0,cluster_0,0.31,3
62.0,47.0,Tommy Haas,$2.547,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Tommy Robredo,false,52.0,cluster_3,-1.54,15
75.0,50.0,Tommy Haas,$2.566,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Andreas Seppi,false,58.0,cluster_3,0.14,1
64.0,43.0,Stan Wawrinka,$2.428,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,Jo-Wilfried Tsonga,false,26.0,cluster_0,-0.51,6
63.0,31.0,Fernando Verdasco,$1.389,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Jo-Wilfried Tsonga,false,27.0,cluster_1,0,0
68.0,36.0,Jo-Wilfried Tsonga,$3.364,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Fernando Verdasco,false,56.0,cluster_3,0.13,1
65.0,34.0,Milos Raonic,$3.375,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Fernando Verdasco,false,57.0,cluster_3,0,0
68.0,36.0,Tomas Berdych,$1.995,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,S,Stan Wawrinka,false,50.0,cluster_3,0,0
56.0,35.0,Jo-Wilfried Tsonga,$1.653,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,Stan Wawrinka,false,52.0,cluster_2,0.56,8
60.0,35.0,Grigor Dimitrov,$1.503,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Stan Wawrinka,false,53.0,cluster_2,-0.04,1
70.0,50.0,Rafael Nadal,$26.377,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Mikhail Youzhny,false,57.0,cluster_2,-0.09,1
65.0,40.0,Nicolas Almagro,$4.779,Mikhail Youzhny,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Mikhail Youzhny,false,58.0,cluster_0,0,0
63.0,37.0,Fabio Fognini,$2.465,Mikhail Youzhny,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Mikhail Youzhny,false,59.0,cluster_0,0,0
62.0,36.0,Mikhail Youzhny,$1.636,Mikhail Youzhny,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Fabio Fognini,false,37.0,cluster_4,0.0,1
61.0,35.0,Tomas Berdych,$3.611,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Jerzy Janowicz,false,78.0,cluster_1,-0.12,3
63.0,40.0,Andy Murray,$5.209,Andy Murray,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Gilles Simon,false,83.0,cluster_3,-0.85,4
57.0,32.0,Jeremy Chardy,$1.669,Gilles Simon,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Gilles Simon,false,85.0,cluster_2,-0.27,3
59,34,Mikhail Youzhny,$1.238,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Madrid,R32,Nicolas Almagro,FALSE,17,cluster_4,0.04,3
63,29,Marin Cilic,$2.757,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Kevin Anderson,FALSE,23,cluster_1,-0.62,8
63,39,Tomas Berdych,$3.510,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Madrid,R16,Kevin Anderson,FALSE,26,cluster_0,-0.26,18
51,25,Kei Nishikori,$3.003,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Jeremy Chardy,FALSE,24,cluster_4,0,0
60,28,Feliciano Lopez,$1.632,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Jeremy Chardy,FALSE,25,cluster_4,-0.75,12
70,36,Kevin Anderson,$1.528,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Marin Cilic,FALSE,45,cluster_0,0.75,8
76.0,41.0,Richard Gasquet,$2.086,Richard Gasquet,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Grigor Dimitrov,false,63.0,cluster_3,0,0
63.0,35.0,Tomas Berdych,$1.188,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Rome,Q,Novak Djokovic,false,76.0,cluster_4,0.02,2
57.0,27.0,Alexandr Dolgopolov,$1.079,Novak Djokovic,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Novak Djokovic,false,77.0,cluster_2,0,0
61.0,27.0,Jerzy Janowicz,$1.180,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,Q,Roger Federer,false,48.0,cluster_0,0,0
45.0,22.0,Gilles Simon,$1.209,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Roger Federer,false,51.0,cluster_3,0,0
56.0,45.0,Rafael Nadal,$6.520,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,David Ferrer,false,72.0,cluster_4,-0.04,4
62.0,37.0,Fernando Verdasco,$1.192,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,David Ferrer,false,75.0,cluster_1,0.34,3
68.0,36.0,Jerzy Janowicz,$1.401,Jerzy Janowicz,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Richard Gasquet,false,55.0,cluster_3,1.01,8
58.0,23.0,Grigor Dimitrov,$1.860,Richard Gasquet,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Richard Gasquet,false,56.0,cluster_4,-0.02,2
58.0,40.0,Rafael Nadal,$11.748,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Ernests Gulbis,false,62.0,cluster_1,-0.25,7
67.0,46.0,Mikhail Youzhny,$1.444,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Tommy Haas,false,63.0,cluster_1,0.36,2
45.0,28.0,Roger Federer,$1.224,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,F,Rafael Nadal,false,75.0,cluster_4,0.35,2
58.0,17.0,Tomas Berdych,$1.185,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,S,Rafael Nadal,false,76.0,cluster_0,0.23,1
55.0,43.0,David Ferrer,$1.158,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,Rafael Nadal,false,77.0,cluster_1,0.85,4
59.0,41.0,Ernests Gulbis,$1.073,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Rafael Nadal,false,78.0,cluster_3,0.1,1
43.0,25.0,Fabio Fognini,$1.042,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Rafael Nadal,false,81.0,cluster_4,0,0
74.0,48.0,Jeremy Chardy,$1.462,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Kei Nishikori,false,41.0,cluster_1,0.13,1
78.0,33.0,Philipp Kohlschreiber,$1.535,Philipp Kohlschreiber,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Milos Raonic,false,28.0,cluster_3,0.15,2
66.0,55.0,Fabio Fognini,$2.077,Fabio Fognini,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Andreas Seppi,false,57.0,cluster_3,0.91,9
74.0,28.0,Jerzy Janowicz,$1.349,Jerzy Janowicz,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Jo-Wilfried Tsonga,false,22.0,cluster_1,-0.15,1
62.0,38.0,David Ferrer,$5.624,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Fernando Verdasco,false,54.0,cluster_0,-0.18,1
55.0,50.0,Gilles Simon,$1.813,Gilles Simon,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Mikhail Youzhny,false,55.0,cluster_4,-0.08,1
53.0,32.0,Tommy Haas,$3.084,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Mikhail Youzhny,false,56.0,cluster_1,0.34,9
72.0,42.0,Novak Djokovic,$11.071,Novak Djokovic,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Alexandr Dolgopolov,false,87.0,cluster_2,-0.25,1
74.0,56.0,Rafael Nadal,$26.725,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Fabio Fognini,false,33.0,cluster_0,-0.51,2
44.0,33.0,Andreas Seppi,$1.868,Fabio Fognini,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Fabio Fognini,false,36.0,cluster_3,0.02,2
63.0,31.0,Richard Gasquet,$3.297,Jerzy Janowicz,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Jerzy Janowicz,false,21.0,cluster_1,-0.87,6
72.0,38.0,Roger Federer,$5.894,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,Q,Jerzy Janowicz,false,22.0,cluster_3,-0.12,1
66.0,21.0,Milos Raonic,$2.737,Philipp Kohlschreiber,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Philipp Kohlschreiber,false,36.0,cluster_3,-0.87,6
71.0,39.0,Jeremy Chardy,$2.474,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Feliciano Lopez,false,83.0,cluster_3,0.83,10
49.0,44.0,Mikhail Youzhny,$2.148,Gilles Simon,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Gilles Simon,false,84.0,cluster_1,-0.38,3
77.0,54.0,Roger Federer,$5.262,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Gilles Simon,false,86.0,cluster_0,0,0
64,36,Novak Djokovic,$5.701,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,Q,Tomas Berdych,FALSE,70,cluster_4,-0.05,1
58,30,Kevin Anderson,$1.325,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R16,Tomas Berdych,FALSE,71,cluster_1,0.15,7
63,31,Stan Wawrinka,$1.939,Stan Wawrinka,May 19 2013,ATP World Tour Masters 1000 Madrid,S,Tomas Berdych,FALSE,73,cluster_1,0,0
58,37,Andy Murray,$2.058,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Madrid,Q,Tomas Berdych,FALSE,74,cluster_3,-0.05,2
55.0,30.0,Fabio Fognini,$2.260,Gael Monfils,May 19 2013,Nice,R16,Gael Monfils,false,53.0,cluster_3,0,0
69.0,44.0,Gael Monfils,$1.741,Gael Monfils,May 19 2013,Nice,R16,Fabio Fognini,false,40.0,cluster_0,0,0
62.0,41.0,Tomas Berdych,$1.883,Tomas Berdych,May 21 2013,ATP World Tour Masters 1000 Madrid,Q,Andy Murray,false,16.0,cluster_0,0.03,4
62,39,Tommy Robredo,$1.221,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,Nicolas Almagro,FALSE,10,cluster_3,1.05,12
54,26,Andreas Seppi,$1.219,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,Nicolas Almagro,FALSE,11,cluster_0,0.1,5
79,39,Jo-Wilfried Tsonga,$4.290,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 32,Jeremy Chardy,FALSE,16,cluster_1,0.33,11
60,31,Roberto Bautista Agut,$1.399,Jeremy Chardy,May 27 2013,French Open Slam,Round of 64,Jeremy Chardy,FALSE,18,cluster_4,-0.09,1
73.0,50.0,Novak Djokovic,$9.817,Novak Djokovic,May 27 2013,French Open Slam,Round of 32,Grigor Dimitrov,false,60.0,cluster_3,-1.0,13
68.0,39.0,Rafael Nadal,$2.582,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,Novak Djokovic,false,64.0,cluster_4,0.5,4
57.0,19.0,Tommy Haas,$1.110,Novak Djokovic,May 27 2013,French Open Slam,Quarter Final,Novak Djokovic,false,65.0,cluster_0,0.11,1
66.0,33.0,Philipp Kohlschreiber,$1.052,Novak Djokovic,May 27 2013,French Open Slam,Round of 16,Novak Djokovic,false,68.0,cluster_4,0,0
50.0,27.0,Grigor Dimitrov,$1.093,Novak Djokovic,May 27 2013,French Open Slam,Round of 32,Novak Djokovic,false,69.0,cluster_2,0.29,7
58.0,32.0,Gilles Simon,$1.055,Roger Federer,May 27 2013,French Open Slam,Round of 16,Roger Federer,false,36.0,cluster_1,2.03,7
52.0,34.0,Jo-Wilfried Tsonga,$1.682,David Ferrer,May 27 2013,French Open Slam,Semi Final,David Ferrer,false,62.0,cluster_3,0.35,4
46.0,24.0,Tommy Robredo,$1.085,David Ferrer,May 27 2013,French Open Slam,Quarter Final,David Ferrer,false,67.0,cluster_0,0.49,5
48.0,27.0,Kevin Anderson,$1.170,David Ferrer,May 27 2013,French Open Slam,Round of 16,David Ferrer,false,68.0,cluster_0,0,0
49.0,33.0,Feliciano Lopez,$1.055,David Ferrer,May 27 2013,French Open Slam,Round of 32,David Ferrer,false,69.0,cluster_0,0.79,6
70.0,36.0,Stan Wawrinka,$2.125,Stan Wawrinka,May 27 2013,French Open Slam,Round of 16,Richard Gasquet,false,51.0,cluster_3,0,0
64.0,35.0,Gael Monfils,$1.735,Gael Monfils,May 27 2013,French Open Slam,Round of 64,Ernests Gulbis,false,60.0,cluster_4,0,0
43.0,37.0,Mikhail Youzhny,$1.823,Tommy Haas,May 27 2013,French Open Slam,Round of 16,Tommy Haas,false,58.0,cluster_3,-0.57,9
68.0,27.0,John Isner,$1.373,Tommy Haas,May 27 2013,French Open Slam,Round of 32,Tommy Haas,false,59.0,cluster_4,0.27,7
57.0,50.0,Gilles Simon,$6.612,Gilles Simon,May 27 2013,French Open Slam,Round of 128,Lleyton Hewitt,false,44.0,cluster_4,-1.11,9
73.0,32.0,Tommy Haas,$3.467,Tommy Haas,May 27 2013,French Open Slam,Round of 32,John Isner,false,58.0,cluster_1,-0.67,9
66.0,40.0,Tommy Robredo,$1.513,Tommy Robredo,May 27 2013,French Open Slam,Round of 32,Gael Monfils,false,47.0,cluster_4,0.11,3
65.0,36.0,Ernests Gulbis,$2.269,Gael Monfils,May 27 2013,French Open Slam,Round of 64,Gael Monfils,false,48.0,cluster_4,-0.12,1
68.0,28.0,Tomas Berdych,$4.580,Gael Monfils,May 27 2013,French Open Slam,Round of 128,Gael Monfils,false,49.0,cluster_3,-0.11,1
46.0,38.0,David Ferrer,$1.114,Rafael Nadal,May 27 2013,French Open Slam,Final,Rafael Nadal,false,64.0,cluster_1,0.74,6
61.0,33.0,Novak Djokovic,$1.588,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,Rafael Nadal,false,65.0,cluster_2,0,0
48.0,30.0,Stan Wawrinka,$1.065,Rafael Nadal,May 27 2013,French Open Slam,Quarter Final,Rafael Nadal,false,66.0,cluster_4,2.07,10
54.0,29.0,Kei Nishikori,$1.041,Rafael Nadal,May 27 2013,French Open Slam,Round of 16,Rafael Nadal,false,69.0,cluster_2,0.32,1
57.0,37.0,Fabio Fognini,$1.015,Rafael Nadal,May 27 2013,French Open Slam,Round of 32,Rafael Nadal,false,70.0,cluster_2,1.68,7
71.0,46.0,Rafael Nadal,$17.789,Rafael Nadal,May 27 2013,French Open Slam,Round of 16,Kei Nishikori,false,30.0,cluster_1,-0.23,1
75.0,40.0,Kevin Anderson,$1.698,Kevin Anderson,May 27 2013,French Open Slam,Round of 32,Milos Raonic,false,23.0,cluster_3,0.03,1
61.0,38.0,Nicolas Almagro,$5.047,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,Tommy Robredo,false,48.0,cluster_0,-1.03,11
60.0,34.0,Gael Monfils,$2.809,Tommy Robredo,May 27 2013,French Open Slam,Round of 32,Tommy Robredo,false,49.0,cluster_0,0.02,1
74.0,46.0,Nicolas Almagro,$5.085,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,Andreas Seppi,false,53.0,cluster_3,-0.04,1
66.0,48.0,David Ferrer,$2.367,David Ferrer,May 27 2013,French Open Slam,Semi Final,Jo-Wilfried Tsonga,false,9.0,cluster_0,-0.58,7
53.0,26.0,Roger Federer,$2.480,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Quarter Final,Jo-Wilfried Tsonga,false,11.0,cluster_2,-0.42,10
61.0,21.0,Jeremy Chardy,$1.276,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 32,Jo-Wilfried Tsonga,false,16.0,cluster_2,-0.17,2
70.0,52.0,Rafael Nadal,$12.872,Rafael Nadal,May 27 2013,French Open Slam,Quarter Final,Stan Wawrinka,false,40.0,cluster_3,0.31,1
